key,subject,udc,P1,P2,P3,semester,hours
TC1027,Business Programming,1,,X,,1,20
TC1028,Computational Thinking for Engineering,2,X,X,,1,40
TC1029,Computational Thinking and Programming,3,X,X,X,1,60
TC1030,Object Oriented Programming,1,,,X,2,20
TC1031,Programming of Data Structures and Fundamental Algorithms,3,X,X,X,3,60
TC1032,Modeling of Minimum Systems and Computational Architectures,1,,X,,3,20
TC1033,Object Oriented Computational Thinking,1,,,X,1,20
TC1001B,Principles of Programming for Social Sciences,3,,,X,1,60
TC1002B,Technological Tools for Social Sciences,3,,X,,4,60
TC1003B,Engineering Modeling with Computational Mathematics,3,X,,,2,60
TC1004B,Implementation of Internet of Things,6,,X,X,3,120
TC2037,Implementation of Computational Methods,3,X,X,X,4,60
TC2038,Analysis and Design of Advanced Algorithms,3,X,X,X,5,60
TC2005B,Software Construction and Decision Making,8,X,X,,4,160
TC2006B,Interconnection of Devices,4,,,X,4,80
TC2007B,Integration of Computer Security in Networks and Software Systems,8,X,X,,5,160
TC2008B,Modeling of Multi-agent Systems with Computational Graphics,4,,,X,5,80
TC3001B,Software Development,18,X,X,X,6,360
TC3002B,Development of Advanced Applications of Computational Sciences,6,,X,,8,120
TC3003B,Implementation of Wide Area Networks and Distributed Services,6,,,X,8,120
TC3004B,Software Systems Planning,6,X,,,8,120
TC3005B,Development and Implementation of Software Systems,12,,X,X,8,240
TI1015,Software Requirements Analysis,1,,,X,3,20
TI3001C,Data Analytics and Artificial Intelligence Tools I,7,X,X,X,7,140
TI3002C,Data Analytics and Artificial Intelligence Tools II,13,X,X,X,7,260
TI3005B,Digital Transformation of Civil Society Organizations,6,X,,,8,120